"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"Validación_Datos"
"04/13/2026 22:51:30:157 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","densidad","flujo-promedio"
"3","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9491525423728813"
"2","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9322033898305084"
"4","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9322033898305084"
"1","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.8983050847457628"
"6","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9491525423728813"
"5","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9491525423728813"
"9","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9322033898305084"
"7","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9152542372881356"
"8","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9322033898305084"
"12","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.864406779661017"
"10","aleatoria","2","0.0045","aleatoria","0.026","3000","0.0392156862745098","1.9322033898305084"
"11","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.847457627118644"
"14","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.864406779661017"
"13","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.847457627118644"
"15","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.830508474576271"
"18","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.864406779661017"
"16","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.9152542372881354"
"19","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.864406779661017"
"20","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.8813559322033897"
"17","aleatoria","4","0.0045","aleatoria","0.026","3000","0.0784313725490196","3.864406779661017"
"21","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.745762711864407"
"24","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.796610169491525"
"22","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.830508474576271"
"25","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.762711864406779"
"23","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.796610169491525"
"26","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.711864406779661"
"27","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.711864406779661"
"28","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.796610169491525"
"30","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.762711864406779"
"29","aleatoria","6","0.0045","aleatoria","0.026","3000","0.11764705882352941","5.88135593220339"
"31","aleatoria","8","0.0045","aleatoria","0.026","3000","0.1568627450980392","7.593220338983051"
"32","aleatoria","8","0.0045","aleatoria","0.026","3000","0.1568627450980392","7.694915254237288"
